team,seed,winPct,position,newPos,round,favorite,regionVal,region,rs,direction
Kansas State,8,0.186,4,4,1,1,1,east,east8,
West Virginia,9,0.814,5,5,1,0,1,east,east9,up
Kansas,1,0.689,2.5,2.5,2,1,1,east,east1,
West Virginia,9,0.311,3.5,3.5,2,0,1,east,east8,down
TCU,5,0.846,8.5,8.5,2,1,1,east,east5,
Texas,4,0.154,9.5,9.5,2,0,1,east,east4,up
Iowa State,6,0.759,14.5,14.5,2,1,1,east,east6,
Texas Tech,3,0.241,15.5,15.5,2,0,1,east,east3,down
Oklahoma,7,0.357,20.5,20.5,2,1,1,east,east7,
Baylor,2,0.643,21.5,21.5,2,0,1,east,east2,up
Kansas,1,0.653,5.5,5.5,3,1,1,east,east1,
TCU,5,0.347,6.5,6.5,3,0,1,east,east4,down
Baylor,2,0.395,17.5,17.5,3,1,1,east,east6,
Iowa State,6,0.605,18.5,18.5,3,0,1,east,east2,up
Kansas,1,0.54,11.5,11.5,4,1,1,east,east1,
Iowa State,6,0.46,12.5,12.5,4,1,1,east,east2,
