team,seed,winPct,position,newPos,round,favorite,regionVal,region,rs,direction
Colgate,14,0.089,17,92,1,0,4,midwest,midwest14,up
USC,7,0.643,19,94,1,1,4,midwest,midwest7,
Miami (FL),10,0.357,20,95,1,0,4,midwest,midwest10,down
Auburn,2,0.935,22,97,1,1,4,midwest,midwest2,
Jacksonville St.,15,0.065,23,98,1,0,4,midwest,midwest15,up
Kansas,1,0.778,2.5,77.5,2,1,4,midwest,midwest1,
San Diego State,8,0.222,3.5,78.5,2,0,4,midwest,midwest9,down
Iowa,5,0.886,8.5,83.5,2,1,4,midwest,midwest5,
South Dakota St.,13,0.114,9.5,84.5,2,0,4,midwest,midwest4,up
Iowa State,11,0.776,14.5,89.5,2,1,4,midwest,midwest6,
Wisconsin,3,0.224,15.5,90.5,2,0,4,midwest,midwest3,down
USC,7,0.569,20.5,95.5,2,1,4,midwest,midwest7,
Auburn,2,0.431,21.5,96.5,2,0,4,midwest,midwest2,up
Kansas,1,0.504,5.5,80.5,3,1,4,midwest,midwest1,
Iowa,5,0.496,6.5,81.5,3,0,4,midwest,midwest5,down
Iowa State,11,0.755,17.5,92.5,3,1,4,midwest,midwest3,
USC,7,0.245,18.5,93.5,3,0,4,midwest,midwest2,up
Kansas,1,0.339,11.5,86.5,4,1,4,midwest,midwest5,
Iowa State,11,0.661,12.5,87.5,4,1,4,midwest,midwest3,
Iowa State,11,0.3,1,105,1,0,4,midwest,midwest3,up
Gonzaga,1,0.55,,102.5,2,1,5,,,
Houston,5,0.45,,103.5,2,1,5,,,
