team,seed,score,winPct,position,newPos,round,favorite,regionVal,region,rs,direction,,,Duke  ,North Dakota State  ,Virginia Commonwealth  ,Central Florida  
Oklahoma  ,9,102.291008,0.606931366,5,55,1,0,3,south,south9,up,,,,,,
Wisconsin  ,5,131.6871257,0.67465539,7,57,1,1,3,south,south5,,,,,,,
Oregon  ,12,120.076813,0.32534461,8,58,1,0,3,south,south12,down,,,,,,
Kansas State  ,4,133.2657727,0.855103128,10,60,1,1,3,south,south4,,,,,,,
UC-Irvine  ,13,95.32757398,0.144896872,11,61,1,0,3,south,south13,up,,,,,,
Villanova  ,6,103.2557662,0.505822307,13,63,1,1,3,south,south6,,,,,,,
Saint Mary's (CA)  ,11,109.4181845,0.494177693,14,64,1,0,3,south,south11,down,,,,,,
Purdue  ,3,121.3196551,0.754328038,16,66,1,1,3,south,south3,,,,,,,
Old Dominion  ,14,99.82865507,0.245671962,17,67,1,0,3,south,south14,up,,,,,,
Cincinnati  ,7,120.4316551,0.866446359,19,69,1,1,3,south,south7,,,,,,,
Iowa  ,10,80.10965507,0.133553641,20,70,1,0,3,south,south10,down,,,,,,
Tennessee  ,2,113.479601,0.91526227,22,72,1,1,3,south,south2,,,,,,,
Colgate  ,15,60.32565507,0.08473773,23,73,1,0,3,south,south15,up,,,,,,
Virginia  ,1,171.272234,0.952951853,2.5,52.5,2,1,3,south,south1,,,,,,,
Oklahoma  ,9,102.291008,0.047048147,3.5,53.5,2,0,3,south,south9,down,,,,,,
Wisconsin  ,5,131.6871257,0.551165745,8.5,58.5,2,1,3,south,south5,,,,,,,
Kansas State  ,4,133.2657727,0.448834255,9.5,59.5,2,0,3,south,south4,up,,,,,,
Villanova  ,6,103.2557662,0.389479886,14.5,64.5,2,1,3,south,south6,,,,,,,
Purdue  ,3,121.3196551,0.610520114,15.5,65.5,2,0,3,south,south3,down,,,,,,
Cincinnati  ,7,120.4316551,0.632804337,20.5,70.5,2,1,3,south,south7,,,,,,,
Tennessee  ,2,113.479601,0.367195663,21.5,71.5,2,0,3,south,south2,up,,,,,,
Virginia  ,1,171.272234,0.863022463,5.5,55.5,3,1,3,south,south1,,,,,,,
Wisconsin  ,5,131.6871257,0.136977537,6.5,56.5,3,0,3,south,south5,down,,,,,,
Purdue  ,3,121.3196551,0.575266171,17.5,67.5,3,1,3,south,south3,,,,,,,
Cincinnati  ,7,120.4316551,0.424733829,18.5,68.5,3,0,3,south,south7,up,,,,,,
Virginia  ,1,171.272234,0.904863765,11.5,61.5,4,1,3,south,south1,,,,,,,
Purdue  ,3,121.3196551,0.095136235,12.5,62.5,4,1,3,south,south3,,,,,,,
Virginia  ,1,171.272234,0.833066563,1,104,1,1,3,south,south1,,,,,,,
North Carolina  ,1,107.1028773,0.972154077,1,76,1,1,4,midwest,midwest1,,,,,,,
Iona  ,16,24.41665507,0.027845923,2,77,1,0,4,midwest,midwest16,down,,,,,,
Utah State  ,8,98.55665507,0.486086851,4,79,1,1,4,midwest,midwest8,,,,,,,
Washington  ,9,106.7066551,0.513913149,5,80,1,0,4,midwest,midwest9,up,,,,,,
Auburn  ,5,114.7816551,0.676498484,7,82,1,1,4,midwest,midwest5,,,,,,,
New Mexico State  ,12,102.9596551,0.323501516,8,83,1,0,4,midwest,midwest12,down,,,,,,
Kansas  ,4,103.583544,0.857236745,10,85,1,1,4,midwest,midwest4,,,,,,,
Northeastern  ,13,65.20918448,0.142763255,11,86,1,0,4,midwest,midwest13,up,,,,,,
Iowa State  ,6,109.6096551,0.606047832,13,88,1,1,4,midwest,midwest6,,,,,,,
Ohio State  ,11,105.5156551,0.393952168,14,89,1,0,4,midwest,midwest11,down,,,,,,
Houston  ,3,137.5550605,0.974290444,16,91,1,1,4,midwest,midwest3,,,,,,,
Georgia State  ,14,52.80418448,0.025709556,17,92,1,0,4,midwest,midwest14,up,,,,,,
Wofford  ,7,109.0346551,0.824724452,19,94,1,1,4,midwest,midwest7,,,,,,,
Seton Hall  ,10,76.79836095,0.175275548,20,95,1,0,4,midwest,midwest10,down,,,,,,
Kentucky  ,2,130.6661956,0.919065894,22,97,1,1,4,midwest,midwest2,,,,,,,
Abilene Christian  ,15,76.25177271,0.080934106,23,98,1,0,4,midwest,midwest15,up,,,,,,
North Carolina  ,1,107.1028773,0.570485963,2.5,77.5,2,1,4,midwest,midwest1,,,,,,,
Washington  ,9,106.7066551,0.429514037,3.5,78.5,2,0,4,midwest,midwest9,down,,,,,,
Auburn  ,5,114.7816551,0.671050962,8.5,83.5,2,1,4,midwest,midwest5,,,,,,,
Kansas  ,4,103.583544,0.328949038,9.5,84.5,2,0,4,midwest,midwest4,up,,,,,,
Iowa State  ,6,109.6096551,0.301104244,14.5,89.5,2,1,4,midwest,midwest6,,,,,,,
Houston  ,3,137.5550605,0.698895756,15.5,90.5,2,0,4,midwest,midwest3,down,,,,,,
Wofford  ,7,109.0346551,0.356353834,20.5,95.5,2,1,4,midwest,midwest7,,,,,,,
Kentucky  ,2,130.6661956,0.643646166,21.5,96.5,2,0,4,midwest,midwest2,up,,,,,,
North Carolina  ,1,107.1028773,0.490764168,5.5,80.5,3,1,4,midwest,midwest1,,,,,,,
Auburn  ,5,114.7816551,0.509235832,6.5,81.5,3,0,4,midwest,midwest5,down,,,,,,
Houston  ,3,137.5550605,0.632220863,17.5,92.5,3,1,4,midwest,midwest3,,,,,,,
Kentucky  ,2,130.6661956,0.367779137,18.5,93.5,3,0,4,midwest,midwest2,up,,,,,,
Auburn  ,5,114.7816551,0.346018709,11.5,86.5,4,1,4,midwest,midwest5,,,,,,,
Houston  ,3,137.5550605,0.653981291,12.5,87.5,4,1,4,midwest,midwest3,,,,,,,
Houston  ,3,137.5550605,0.166933437,1,105,1,0,4,midwest,midwest3,up,,,,,,
Gonzaga  ,1,146.322628,0.326724767,,102.5,2,1,5,,,,,,,,,
Virginia  ,1,171.272234,0.673275233,,103.5,2,1,5,,,,,,,,,
