year,republicans,independents,democrats
2019,15,36,69
2018,21,42,76
2017,14,42,76
2016,14,30,51
2015,32,33,55
2014,27,38,54
2013,33,37,60
2012,26,31,58
2011,38,38,56
2010,32,39,59
2009,36,39,58
2008,27,41,60
2007,33,41,66
2006,,,
2005,31,49,70
2004,31,44,59
2003,44,53,66
2002,49,52,59
2001,39,52,65
2000,47,53,53
1999,46,55,61
1998,52,53,59
1997,41,53,64
